post_id,timestamp,risk_level,confidence,prob_high,prob_medium,prob_low,needs_review,method
,2016-07-30,medium,0.021,0.333,0.354,0.313,True,embedding
,2013-11-13,high,0.023,0.352,0.329,0.319,True,embedding
,2015-12-29,high,0.006,0.347,0.312,0.341,True,embedding
,2011-12-11,low,0.026,0.328,0.318,0.354,True,embedding
,2017-01-20,medium,0.007,0.327,0.34,0.333,True,embedding
,2017-06-03,medium,0.017,0.329,0.346,0.325,True,embedding
,2010-12-22,high,0.023,0.351,0.321,0.328,True,embedding
,2015-10-24,low,0.021,0.332,0.315,0.353,True,embedding
,2017-06-28,low,0.004,0.33,0.333,0.337,True,embedding
,2017-07-19,high,0.014,0.349,0.316,0.335,True,embedding
,2016-06-15,low,0.008,0.326,0.333,0.341,True,embedding
,2013-02-19,high,0.014,0.344,0.33,0.326,True,embedding
,2017-07-25,high,0.037,0.359,0.322,0.318,True,embedding
,2014-02-24,low,0.011,0.326,0.332,0.343,True,embedding
,2017-07-09,high,0.008,0.348,0.312,0.34,True,embedding
,2017-02-05,medium,0.022,0.337,0.359,0.304,True,embedding
,2016-02-02,low,0.007,0.333,0.327,0.34,True,embedding
,2015-04-03,high,0.001,0.336,0.329,0.335,True,embedding
,2016-01-18,low,0.015,0.334,0.318,0.349,True,embedding
,2008-09-23,low,0.019,0.334,0.313,0.353,True,embedding
,2017-03-25,high,0.047,0.369,0.322,0.31,True,embedding
,2017-03-12,medium,0.0,0.302,0.349,0.349,True,embedding
,2012-01-18,high,0.009,0.342,0.333,0.325,True,embedding
,2011-05-31,low,0.016,0.335,0.314,0.351,True,embedding
,2016-04-20,low,0.005,0.332,0.331,0.337,True,embedding
,2016-10-20,low,0.013,0.293,0.347,0.36,True,embedding
,2009-09-14,high,0.001,0.342,0.316,0.341,True,embedding
,2012-03-08,low,0.01,0.332,0.325,0.342,True,embedding
,2009-09-21,high,0.006,0.343,0.337,0.32,True,embedding
,2011-09-26,low,0.007,0.333,0.326,0.34,True,embedding
,2009-11-10,low,0.007,0.335,0.323,0.342,True,embedding
,2009-01-28,high,0.0,0.337,0.337,0.326,True,embedding
,2011-04-18,medium,0.038,0.322,0.36,0.318,True,embedding
,2016-05-02,low,0.015,0.336,0.313,0.351,True,embedding
,2016-03-13,high,0.016,0.348,0.32,0.332,True,embedding
,2010-09-11,low,0.017,0.291,0.346,0.363,True,embedding
,2012-01-13,medium,0.0,0.324,0.338,0.338,True,embedding
,2010-01-03,low,0.03,0.319,0.326,0.356,True,embedding
,2010-07-07,medium,0.013,0.317,0.348,0.335,True,embedding
,2012-09-17,low,0.03,0.327,0.316,0.357,True,embedding
,2016-04-12,low,0.002,0.311,0.343,0.345,True,embedding
,2016-01-26,low,0.006,0.344,0.307,0.35,True,embedding
,2011-05-06,medium,0.022,0.32,0.351,0.329,True,embedding
,2017-08-24,high,0.017,0.345,0.327,0.328,True,embedding
,2011-11-10,medium,0.009,0.321,0.344,0.335,True,embedding
,2016-05-19,medium,0.014,0.333,0.347,0.319,True,embedding
,2009-10-27,medium,0.007,0.337,0.344,0.319,True,embedding
,2017-02-13,high,0.009,0.348,0.313,0.339,True,embedding
,2016-08-26,medium,0.015,0.327,0.344,0.329,True,embedding
,2016-01-04,high,0.0,0.337,0.337,0.325,True,embedding
,2009-01-29,high,0.011,0.341,0.329,0.33,True,embedding
,2016-03-12,high,0.006,0.338,0.33,0.332,True,embedding
,2015-09-26,medium,0.014,0.327,0.344,0.33,True,embedding
,2017-11-14,low,0.005,0.334,0.327,0.339,True,embedding
,2008-06-09,medium,0.049,0.326,0.375,0.299,True,embedding
,2013-10-29,low,0.015,0.325,0.33,0.345,True,embedding
,2009-10-10,medium,0.014,0.314,0.35,0.336,True,embedding
,2016-01-08,low,0.002,0.341,0.316,0.343,True,embedding
,2013-06-17,medium,0.016,0.328,0.344,0.328,True,embedding
,2015-12-07,low,0.005,0.345,0.305,0.35,True,embedding
,2015-05-11,high,0.004,0.337,0.329,0.333,True,embedding
,2013-07-17,low,0.005,0.331,0.332,0.337,True,embedding
,2012-03-01,medium,0.002,0.334,0.336,0.33,True,embedding
,2013-08-28,medium,0.021,0.316,0.352,0.331,True,embedding
,2016-09-07,high,0.012,0.344,0.324,0.332,True,embedding
,2011-06-13,low,0.029,0.334,0.303,0.363,True,embedding
,2016-02-22,low,0.012,0.328,0.33,0.342,True,embedding
,2012-11-01,low,0.01,0.345,0.3,0.355,True,embedding
,2016-01-15,high,0.034,0.357,0.323,0.32,True,embedding
,2017-02-26,medium,0.002,0.339,0.341,0.32,True,embedding
,2017-10-22,high,0.05,0.372,0.306,0.322,True,embedding
,2015-10-01,medium,0.008,0.328,0.34,0.332,True,embedding
,2011-11-03,low,0.015,0.323,0.331,0.346,True,embedding
,2013-08-02,low,0.012,0.334,0.321,0.346,True,embedding
,2017-03-16,high,0.009,0.34,0.329,0.331,True,embedding
,2017-07-10,low,0.008,0.33,0.331,0.339,True,embedding
,2014-07-08,low,0.027,0.326,0.321,0.353,True,embedding
,2016-03-27,high,0.006,0.342,0.336,0.322,True,embedding
,2008-08-30,low,0.01,0.33,0.33,0.34,True,embedding
,2015-09-19,low,0.002,0.335,0.327,0.337,True,embedding
,2016-01-25,low,0.052,0.338,0.272,0.39,True,embedding
,2016-10-29,low,0.011,0.332,0.325,0.343,True,embedding
,2010-10-26,high,0.004,0.337,0.333,0.33,True,embedding
,2008-03-21,low,0.008,0.331,0.331,0.339,True,embedding
,2012-05-18,medium,0.013,0.32,0.347,0.334,True,embedding
,2015-09-16,medium,0.056,0.316,0.372,0.313,True,embedding
,2017-06-03,medium,0.0,0.331,0.334,0.334,True,embedding
,2010-06-27,high,0.003,0.336,0.333,0.331,True,embedding
,2016-08-13,medium,0.026,0.326,0.352,0.322,True,embedding
,2009-02-04,high,0.0,0.335,0.335,0.33,True,embedding
,2012-08-08,low,0.004,0.346,0.304,0.35,True,embedding
,2009-11-17,medium,0.003,0.323,0.34,0.337,True,embedding
,2011-05-09,high,0.004,0.336,0.332,0.332,True,embedding
,2016-02-21,low,0.002,0.326,0.336,0.338,True,embedding
,2017-01-05,high,0.024,0.35,0.326,0.324,True,embedding
,2012-09-19,high,0.004,0.346,0.312,0.342,True,embedding
,2015-07-20,medium,0.025,0.328,0.353,0.319,True,embedding
,2015-05-13,medium,0.008,0.335,0.343,0.321,True,embedding
,2017-05-26,medium,0.007,0.332,0.339,0.329,True,embedding
,2008-09-13,high,0.025,0.351,0.323,0.326,True,embedding
,2010-10-09,medium,0.048,0.322,0.37,0.308,True,embedding
,2012-02-12,medium,0.01,0.326,0.342,0.332,True,embedding
,2015-01-30,high,0.011,0.356,0.299,0.345,True,embedding
,2014-04-24,low,0.014,0.34,0.307,0.354,True,embedding
,2009-06-02,low,0.008,0.332,0.328,0.34,True,embedding
,2008-11-30,low,0.063,0.316,0.304,0.379,True,embedding
,2017-05-13,medium,0.004,0.311,0.346,0.342,True,embedding
,2017-09-15,low,0.001,0.337,0.325,0.338,True,embedding
,2016-11-13,medium,0.031,0.305,0.363,0.332,True,embedding
,2009-03-10,medium,0.005,0.339,0.344,0.317,True,embedding
,2015-02-06,medium,0.011,0.331,0.342,0.327,True,embedding
,2012-03-03,medium,0.012,0.331,0.343,0.327,True,embedding
,2016-12-19,low,0.002,0.33,0.334,0.336,True,embedding
,2016-07-30,low,0.026,0.334,0.306,0.36,True,embedding
,2012-05-11,low,0.006,0.334,0.326,0.34,True,embedding
,2014-05-26,high,0.037,0.361,0.315,0.324,True,embedding
,2009-07-28,low,0.077,0.319,0.285,0.396,True,embedding
,2015-07-20,high,0.011,0.341,0.329,0.33,True,embedding
,2017-08-30,high,0.003,0.338,0.335,0.326,True,embedding
,2012-07-23,low,0.01,0.333,0.324,0.343,True,embedding
,2015-04-01,medium,0.003,0.339,0.342,0.319,True,embedding
,2012-10-14,low,0.035,0.328,0.309,0.363,True,embedding
,2016-01-29,low,0.009,0.323,0.334,0.343,True,embedding
,2012-10-16,low,0.035,0.334,0.297,0.369,True,embedding
,2015-02-05,low,0.006,0.333,0.328,0.339,True,embedding
,2016-03-03,low,0.001,0.333,0.333,0.334,True,embedding
,2015-06-22,medium,0.037,0.343,0.38,0.277,True,embedding
,2017-08-14,high,0.005,0.339,0.327,0.334,True,embedding
,2017-04-03,medium,0.015,0.33,0.345,0.325,True,embedding
,2009-09-12,medium,0.041,0.328,0.369,0.304,True,embedding
,2013-01-20,low,0.026,0.324,0.325,0.351,True,embedding
,2010-12-13,low,0.013,0.319,0.334,0.347,True,embedding
,2016-02-19,medium,0.021,0.316,0.352,0.331,True,embedding
,2016-08-20,high,0.008,0.34,0.328,0.332,True,embedding
,2017-03-24,low,0.008,0.338,0.316,0.346,True,embedding
,2012-09-12,medium,0.033,0.32,0.357,0.324,True,embedding
,2014-01-08,low,0.044,0.328,0.299,0.372,True,embedding
,2016-11-06,low,0.035,0.322,0.32,0.357,True,embedding
,2017-06-14,medium,0.02,0.327,0.347,0.325,True,embedding
,2009-10-27,medium,0.025,0.333,0.358,0.309,True,embedding
,2016-05-12,high,0.023,0.35,0.327,0.323,True,embedding
,2017-06-07,medium,0.026,0.34,0.366,0.293,True,embedding
,2008-03-10,low,0.012,0.337,0.315,0.349,True,embedding
,2013-09-27,high,0.001,0.336,0.335,0.328,True,embedding
,2017-04-11,medium,0.002,0.322,0.34,0.338,True,embedding
,2015-06-18,high,0.013,0.344,0.325,0.331,True,embedding
,2016-07-10,high,0.016,0.345,0.329,0.326,True,embedding
,2009-07-29,medium,0.002,0.32,0.341,0.339,True,embedding
,2015-10-28,high,0.007,0.339,0.332,0.329,True,embedding
,2015-09-20,high,0.064,0.395,0.275,0.331,True,embedding
,2017-05-02,high,0.009,0.34,0.331,0.329,True,embedding
,2016-07-30,high,0.014,0.344,0.33,0.326,True,embedding
,2016-11-10,low,0.027,0.333,0.307,0.36,True,embedding
,2016-11-25,high,0.0,0.336,0.336,0.328,True,embedding
,2016-11-10,low,0.005,0.324,0.335,0.34,True,embedding
,2011-08-18,high,0.03,0.355,0.325,0.32,True,embedding
,2015-09-06,high,0.012,0.344,0.324,0.332,True,embedding
,2017-01-30,medium,0.021,0.33,0.351,0.319,True,embedding
,2009-01-19,medium,0.064,0.328,0.392,0.28,True,embedding
,2016-10-18,medium,0.028,0.329,0.357,0.314,True,embedding
,2011-03-06,low,0.015,0.335,0.315,0.35,True,embedding
,2015-01-12,medium,0.032,0.313,0.359,0.327,True,embedding
,2015-10-24,low,0.001,0.296,0.352,0.353,True,embedding
,2012-11-07,low,0.019,0.336,0.309,0.355,True,embedding
,2012-02-13,high,0.012,0.343,0.326,0.331,True,embedding
,2016-08-15,low,0.034,0.322,0.322,0.356,True,embedding
,2016-06-17,medium,0.008,0.326,0.341,0.333,True,embedding
,2012-07-10,high,0.0,0.344,0.312,0.344,True,embedding
,2009-08-25,low,0.021,0.321,0.329,0.35,True,embedding
,2011-11-29,high,0.001,0.34,0.321,0.339,True,embedding
,2016-03-13,high,0.035,0.357,0.322,0.321,True,embedding
,2016-11-11,medium,0.003,0.329,0.337,0.334,True,embedding
,2008-04-21,high,0.01,0.347,0.315,0.337,True,embedding
,2008-05-13,medium,0.051,0.328,0.379,0.293,True,embedding
,2009-06-01,low,0.021,0.319,0.33,0.351,True,embedding
,2015-10-12,low,0.01,0.332,0.326,0.342,True,embedding
,2010-01-21,low,0.016,0.34,0.304,0.356,True,embedding
,2015-01-02,medium,0.02,0.336,0.356,0.308,True,embedding
,2017-06-05,medium,0.061,0.325,0.386,0.29,True,embedding
,2016-03-27,high,0.021,0.352,0.317,0.331,True,embedding
,2011-11-26,low,0.012,0.338,0.312,0.35,True,embedding
,2012-03-06,medium,0.013,0.325,0.344,0.331,True,embedding
,2014-11-22,low,0.008,0.33,0.331,0.339,True,embedding
,2013-01-14,low,0.046,0.32,0.314,0.366,True,embedding
,2009-10-25,high,0.027,0.353,0.321,0.326,True,embedding
,2017-02-21,medium,0.008,0.332,0.34,0.329,True,embedding
,2015-06-02,low,0.004,0.332,0.332,0.336,True,embedding
,2014-08-26,low,0.003,0.327,0.335,0.338,True,embedding
,2015-10-09,low,0.008,0.334,0.324,0.342,True,embedding
,2015-01-31,high,0.013,0.346,0.32,0.333,True,embedding
,2016-03-31,medium,0.003,0.355,0.358,0.288,True,embedding
