post_id,rule_risk_level,embedding_risk_level,llm_risk_level,final_risk_level,ensemble_confidence,method_agreement,sources_used
49,low,low,,low,0.004,True,embedding+rule
50,low,low,,low,0.025,True,embedding+rule
51,low,low,,low,0.021,True,embedding+rule
52,high,high,,high,0.214,True,embedding+rule
53,low,medium,,medium,0.032,False,embedding+rule
54,low,low,,low,0.041,True,embedding+rule
55,low,low,,low,0.007,True,embedding+rule
56,low,low,,low,0.005,True,embedding+rule
57,low,low,,low,0.023,True,embedding+rule
58,medium,medium,,medium,0.284,True,embedding+rule
59,low,low,,low,0.055,True,embedding+rule
60,low,low,,low,0.017,True,embedding+rule
61,low,high,,medium,0.034,False,embedding+rule
62,low,low,,low,0.026,True,embedding+rule
63,low,medium,,medium,0.0,False,embedding+rule
64,low,low,,low,0.01,True,embedding+rule
65,low,low,,low,0.145,True,embedding+rule
66,low,low,,low,0.018,True,embedding+rule
67,low,low,,low,0.04,True,embedding+rule
68,medium,low,,low,0.163,False,embedding+rule
69,high,high,,high,0.179,True,embedding+rule
70,low,low,,low,0.026,True,embedding+rule
71,low,high,,medium,0.14,False,embedding+rule
72,low,low,,low,0.009,True,embedding+rule
73,low,low,,low,0.009,True,embedding+rule
74,low,low,,low,0.006,True,embedding+rule
75,high,high,,high,0.387,True,embedding+rule
76,low,low,,low,0.015,True,embedding+rule
77,medium,medium,,medium,0.196,True,embedding+rule
78,low,medium,,medium,0.113,False,embedding+rule
79,low,medium,,medium,0.145,False,embedding+rule
80,low,low,,low,0.009,True,embedding+rule
81,low,low,,low,0.004,True,embedding+rule
82,low,low,,low,0.018,True,embedding+rule
83,medium,medium,,medium,0.181,True,embedding+rule
84,low,low,,low,0.143,True,embedding+rule
85,low,low,,low,0.019,True,embedding+rule
86,low,low,,low,0.011,True,embedding+rule
87,low,low,,low,0.013,True,embedding+rule
88,low,low,,low,0.165,True,embedding+rule
89,medium,medium,,medium,0.169,True,embedding+rule
90,low,low,,low,0.145,True,embedding+rule
91,low,low,,low,0.142,True,embedding+rule
92,low,low,,low,0.021,True,embedding+rule
93,low,low,,low,0.144,True,embedding+rule
94,low,low,,low,0.011,True,embedding+rule
95,low,low,,low,0.013,True,embedding+rule
96,low,low,,low,0.007,True,embedding+rule
97,low,low,,low,0.028,True,embedding+rule
98,medium,medium,,medium,0.274,True,embedding+rule
99,medium,medium,,medium,0.18,True,embedding+rule
100,low,low,,low,0.058,True,embedding+rule
101,low,low,,low,0.023,True,embedding+rule
102,low,medium,,medium,0.038,False,embedding+rule
103,low,low,,low,0.039,True,embedding+rule
104,low,low,,low,0.017,True,embedding+rule
105,low,low,,low,0.002,True,embedding+rule
106,low,low,,low,0.007,True,embedding+rule
107,low,low,,low,0.033,True,embedding+rule
108,low,low,,low,0.032,True,embedding+rule
109,medium,medium,,medium,0.201,True,embedding+rule
110,high,high,,high,0.215,True,embedding+rule
111,low,low,,low,0.029,True,embedding+rule
112,low,medium,,medium,0.144,False,embedding+rule
113,low,low,,low,0.034,True,embedding+rule
114,low,high,,medium,0.013,False,embedding+rule
115,low,low,,low,0.116,True,embedding+rule
116,high,high,,high,0.281,True,embedding+rule
117,low,low,,low,0.009,True,embedding+rule
118,low,low,,low,0.138,True,embedding+rule
119,low,high,,medium,0.006,False,embedding+rule
120,low,medium,,medium,0.152,False,embedding+rule
121,low,medium,,medium,0.115,False,embedding+rule
122,medium,medium,,medium,0.203,True,embedding+rule
123,low,high,,medium,0.029,False,embedding+rule
124,low,medium,,medium,0.141,False,embedding+rule
125,low,medium,,medium,0.066,False,embedding+rule
126,low,low,,low,0.003,True,embedding+rule
127,low,high,,medium,0.002,False,embedding+rule
128,low,low,,low,0.151,True,embedding+rule
129,low,low,,low,0.005,True,embedding+rule
130,low,high,,medium,0.122,False,embedding+rule
131,medium,medium,,medium,0.165,True,embedding+rule
132,low,low,,low,0.003,True,embedding+rule
133,low,low,,low,0.007,True,embedding+rule
134,low,medium,,medium,0.002,False,embedding+rule
135,low,high,,medium,0.133,False,embedding+rule
136,medium,medium,,medium,0.17,True,embedding+rule
137,low,low,,low,0.007,True,embedding+rule
138,low,high,,medium,0.004,False,embedding+rule
139,low,medium,,medium,0.147,False,embedding+rule
140,low,low,,low,0.026,True,embedding+rule
141,low,medium,,medium,0.056,False,embedding+rule
142,low,high,,medium,0.002,False,embedding+rule
143,low,low,,low,0.002,True,embedding+rule
144,low,low,,low,0.009,True,embedding+rule
145,low,high,,medium,0.018,False,embedding+rule
146,low,low,,low,0.002,True,embedding+rule
147,low,low,,low,0.007,True,embedding+rule
148,low,low,,low,0.004,True,embedding+rule
149,low,low,,low,0.149,True,embedding+rule
150,low,high,,medium,0.034,False,embedding+rule
151,medium,medium,,medium,0.253,True,embedding+rule
152,low,low,,low,0.11,True,embedding+rule
153,low,low,,low,0.006,True,embedding+rule
154,low,low,,low,0.013,True,embedding+rule
155,low,medium,,medium,0.142,False,embedding+rule
156,low,low,,low,0.009,True,embedding+rule
157,low,medium,,medium,0.041,False,embedding+rule
158,low,medium,,medium,0.004,False,embedding+rule
159,low,medium,,medium,0.001,False,embedding+rule
160,low,low,,low,0.015,True,embedding+rule
161,low,low,,low,0.006,True,embedding+rule
162,low,low,,low,0.004,True,embedding+rule
163,low,low,,low,0.034,True,embedding+rule
164,low,medium,,medium,0.123,False,embedding+rule
165,low,low,,low,0.003,True,embedding+rule
166,low,medium,,medium,0.004,False,embedding+rule
167,low,low,,low,0.007,True,embedding+rule
168,low,high,,medium,0.031,False,embedding+rule
169,low,low,,low,0.005,True,embedding+rule
170,low,high,,medium,0.157,False,embedding+rule
171,medium,medium,,medium,0.172,True,embedding+rule
172,low,medium,,medium,0.001,False,embedding+rule
173,low,medium,,medium,0.013,False,embedding+rule
174,low,medium,,medium,0.004,False,embedding+rule
175,low,medium,,medium,0.005,False,embedding+rule
176,low,medium,,medium,0.002,False,embedding+rule
177,low,high,,medium,0.001,False,embedding+rule
178,low,low,,low,0.002,True,embedding+rule
179,low,low,,low,0.016,True,embedding+rule
180,low,low,,low,0.002,True,embedding+rule
181,low,low,,low,0.022,True,embedding+rule
182,low,low,,low,0.005,True,embedding+rule
183,low,high,,medium,0.011,False,embedding+rule
184,low,high,,medium,0.153,False,embedding+rule
185,low,high,,medium,0.002,False,embedding+rule
186,low,low,,low,0.003,True,embedding+rule
187,low,low,,low,0.001,True,embedding+rule
188,low,high,,medium,0.131,False,embedding+rule
189,low,low,,low,0.007,True,embedding+rule
190,low,low,,low,0.002,True,embedding+rule
191,low,medium,,medium,0.1,False,embedding+rule
192,low,medium,,medium,0.141,False,embedding+rule
193,low,low,,low,0.017,True,embedding+rule
194,low,medium,,medium,0.001,False,embedding+rule
195,low,medium,,medium,0.15,False,embedding+rule
196,low,high,,medium,0.004,False,embedding+rule
197,low,low,,low,0.011,True,embedding+rule
198,low,high,,medium,0.004,False,embedding+rule
199,low,high,,medium,0.005,False,embedding+rule
200,low,low,,low,0.002,True,embedding+rule
201,low,low,,low,0.033,True,embedding+rule
202,low,low,,low,0.025,True,embedding+rule
203,low,medium,,medium,0.146,False,embedding+rule
204,low,low,,low,0.142,True,embedding+rule
205,low,low,,low,0.145,True,embedding+rule
206,low,low,,low,0.015,True,embedding+rule
207,low,high,,medium,0.122,False,embedding+rule
208,low,high,,medium,0.024,False,embedding+rule
209,low,low,,low,0.008,True,embedding+rule
210,low,high,,medium,0.116,False,embedding+rule
211,medium,medium,,medium,0.191,True,embedding+rule
212,low,low,,low,0.007,True,embedding+rule
213,low,low,,low,0.018,True,embedding+rule
214,low,low,,low,0.003,True,embedding+rule
215,low,low,,low,0.007,True,embedding+rule
216,low,low,,low,0.009,True,embedding+rule
217,low,medium,,medium,0.123,False,embedding+rule
218,medium,low,,low,0.171,False,embedding+rule
219,low,low,,low,0.025,True,embedding+rule
220,high,medium,,medium,0.364,False,embedding+rule
221,low,high,,medium,0.004,False,embedding+rule
222,low,low,,low,0.001,True,embedding+rule
223,low,low,,low,0.025,True,embedding+rule
224,low,low,,low,0.035,True,embedding+rule
225,low,low,,low,0.001,True,embedding+rule
226,low,low,,low,0.006,True,embedding+rule
227,low,high,,medium,0.157,False,embedding+rule
228,low,low,,low,0.024,True,embedding+rule
229,low,medium,,medium,0.035,False,embedding+rule
230,low,low,,low,0.03,True,embedding+rule
231,low,medium,,medium,0.022,False,embedding+rule
232,low,low,,low,0.105,True,embedding+rule
233,low,low,,low,0.017,True,embedding+rule
234,low,high,,medium,0.002,False,embedding+rule
235,low,low,,low,0.067,True,embedding+rule
236,low,low,,low,0.013,True,embedding+rule
237,low,low,,low,0.024,True,embedding+rule
238,medium,medium,,medium,0.176,True,embedding+rule
239,low,low,,low,0.154,True,embedding+rule
240,medium,medium,,medium,0.195,True,embedding+rule
241,low,high,,medium,0.011,False,embedding+rule
242,low,high,,medium,0.003,False,embedding+rule
243,low,low,,low,0.013,True,embedding+rule
244,low,medium,,medium,0.14,False,embedding+rule
245,low,medium,,medium,0.149,False,embedding+rule
246,low,high,,medium,0.037,False,embedding+rule
247,low,low,,low,0.138,True,embedding+rule
248,low,low,,low,0.15,True,embedding+rule
249,low,high,,medium,0.147,False,embedding+rule
250,low,low,,low,0.004,True,embedding+rule
251,low,high,,medium,0.007,False,embedding+rule
252,low,high,,medium,0.018,False,embedding+rule
253,low,low,,low,0.133,True,embedding+rule
254,low,high,,medium,0.004,False,embedding+rule
255,medium,medium,,medium,0.237,True,embedding+rule
256,low,low,,low,0.004,True,embedding+rule
257,low,high,,medium,0.001,False,embedding+rule
258,low,low,,low,0.007,True,embedding+rule
259,low,low,,low,0.009,True,embedding+rule
260,high,high,,high,0.19,True,embedding+rule
261,low,medium,,medium,0.14,False,embedding+rule
262,low,high,,medium,0.153,False,embedding+rule
263,low,low,,low,0.008,True,embedding+rule
264,low,low,,low,0.003,True,embedding+rule
265,low,low,,low,0.147,True,embedding+rule
266,low,high,,medium,0.001,False,embedding+rule
267,low,low,,low,0.005,True,embedding+rule
268,low,high,,medium,0.003,False,embedding+rule
269,low,low,,low,0.004,True,embedding+rule
270,low,low,,low,0.004,True,embedding+rule
271,low,high,,medium,0.0,False,embedding+rule
272,low,medium,,medium,0.019,False,embedding+rule
273,low,low,,low,0.007,True,embedding+rule
274,low,high,,medium,0.008,False,embedding+rule
275,medium,low,,low,0.166,False,embedding+rule
276,low,medium,,medium,0.0,False,embedding+rule
277,low,low,,low,0.015,True,embedding+rule
278,low,medium,,medium,0.006,False,embedding+rule
279,low,low,,low,0.015,True,embedding+rule
280,low,low,,low,0.141,True,embedding+rule
281,low,low,,low,0.003,True,embedding+rule
282,low,medium,,medium,0.011,False,embedding+rule
283,low,high,,medium,0.157,False,embedding+rule
284,low,medium,,medium,0.004,False,embedding+rule
285,low,medium,,medium,0.007,False,embedding+rule
286,low,medium,,medium,0.025,False,embedding+rule
287,low,high,,medium,0.004,False,embedding+rule
288,low,medium,,medium,0.156,False,embedding+rule
289,low,high,,medium,0.03,False,embedding+rule
290,low,high,,medium,0.005,False,embedding+rule
291,low,high,,medium,0.003,False,embedding+rule
292,low,medium,,medium,0.007,False,embedding+rule
293,low,low,,low,0.003,True,embedding+rule
294,medium,medium,,medium,0.292,True,embedding+rule
295,low,low,,low,0.007,True,embedding+rule
296,medium,medium,,medium,0.173,True,embedding+rule
297,low,low,,low,0.001,True,embedding+rule
298,medium,medium,,medium,0.169,True,embedding+rule
299,low,low,,low,0.003,True,embedding+rule
300,low,high,,medium,0.002,False,embedding+rule
301,low,low,,low,0.003,True,embedding+rule
302,low,medium,,medium,0.149,False,embedding+rule
303,low,medium,,medium,0.011,False,embedding+rule
304,low,high,,medium,0.154,False,embedding+rule
305,low,low,,low,0.015,True,embedding+rule
306,low,low,,low,0.006,True,embedding+rule
307,low,low,,low,0.153,True,embedding+rule
308,high,high,,high,0.192,True,embedding+rule
309,low,medium,,medium,0.001,False,embedding+rule
310,high,high,,high,0.191,True,embedding+rule
311,low,medium,,medium,0.004,False,embedding+rule
312,low,low,,low,0.139,True,embedding+rule
313,low,low,,low,0.006,True,embedding+rule
314,low,high,,medium,0.118,False,embedding+rule
315,low,low,,low,0.004,True,embedding+rule
316,low,low,,low,0.013,True,embedding+rule
317,low,high,,medium,0.151,False,embedding+rule
318,low,low,,low,0.005,True,embedding+rule
319,low,low,,low,0.001,True,embedding+rule
320,low,low,,low,0.026,True,embedding+rule
321,low,low,,low,0.005,True,embedding+rule
322,low,high,,medium,0.002,False,embedding+rule
323,low,low,,low,0.004,True,embedding+rule
324,low,medium,,medium,0.006,False,embedding+rule
325,low,medium,,medium,0.046,False,embedding+rule
326,low,medium,,medium,0.06,False,embedding+rule
327,low,high,,medium,0.029,False,embedding+rule
328,low,medium,,medium,0.118,False,embedding+rule
329,medium,high,,high,0.15,False,embedding+rule
330,low,low,,low,0.002,True,embedding+rule
331,low,medium,,medium,0.002,False,embedding+rule
332,low,high,,medium,0.002,False,embedding+rule
333,low,low,,low,0.001,True,embedding+rule
334,low,high,,medium,0.012,False,embedding+rule
335,low,high,,medium,0.002,False,embedding+rule
336,medium,medium,,medium,0.188,True,embedding+rule
337,low,medium,,medium,0.135,False,embedding+rule
338,low,medium,,medium,0.004,False,embedding+rule
339,low,high,,medium,0.038,False,embedding+rule
340,low,medium,,medium,0.163,False,embedding+rule
341,low,medium,,medium,0.02,False,embedding+rule
342,low,high,,medium,0.005,False,embedding+rule
343,low,low,,low,0.033,True,embedding+rule
344,low,low,,low,0.004,True,embedding+rule
345,low,low,,low,0.032,True,embedding+rule
346,low,medium,,medium,0.002,False,embedding+rule
347,low,low,,low,0.015,True,embedding+rule
348,medium,medium,,medium,0.173,True,embedding+rule
349,low,medium,,medium,0.003,False,embedding+rule
350,low,medium,,medium,0.005,False,embedding+rule
351,low,medium,,medium,0.006,False,embedding+rule
352,low,low,,low,0.149,True,embedding+rule
353,low,low,,low,0.013,True,embedding+rule
354,low,low,,low,0.003,True,embedding+rule
355,low,high,,medium,0.141,False,embedding+rule
356,low,low,,low,0.038,True,embedding+rule
357,low,high,,medium,0.154,False,embedding+rule
358,low,high,,medium,0.002,False,embedding+rule
359,low,low,,low,0.005,True,embedding+rule
360,low,medium,,medium,0.002,False,embedding+rule
361,low,low,,low,0.018,True,embedding+rule
362,low,low,,low,0.004,True,embedding+rule
363,low,low,,low,0.018,True,embedding+rule
364,low,low,,low,0.003,True,embedding+rule
365,low,low,,low,0.001,True,embedding+rule
366,medium,medium,,medium,0.189,True,embedding+rule
367,low,high,,medium,0.116,False,embedding+rule
368,low,medium,,medium,0.007,False,embedding+rule
369,medium,medium,,medium,0.187,True,embedding+rule
370,low,low,,low,0.013,True,embedding+rule
371,low,low,,low,0.006,True,embedding+rule
372,medium,medium,,medium,0.175,True,embedding+rule
373,low,high,,medium,0.01,False,embedding+rule
374,low,low,,low,0.016,True,embedding+rule
375,medium,medium,,medium,0.278,True,embedding+rule
376,low,low,,low,0.022,True,embedding+rule
377,low,low,,low,0.018,True,embedding+rule
378,low,medium,,medium,0.01,False,embedding+rule
379,low,medium,,medium,0.034,False,embedding+rule
380,low,high,,medium,0.038,False,embedding+rule
381,medium,medium,,medium,0.258,True,embedding+rule
382,low,low,,low,0.006,True,embedding+rule
383,low,high,,medium,0.132,False,embedding+rule
384,low,medium,,medium,0.001,False,embedding+rule
385,low,high,,medium,0.006,False,embedding+rule
386,low,high,,medium,0.008,False,embedding+rule
387,low,medium,,medium,0.001,False,embedding+rule
388,low,high,,medium,0.144,False,embedding+rule
389,high,high,,high,0.198,True,embedding+rule
390,low,high,,medium,0.004,False,embedding+rule
391,low,high,,medium,0.007,False,embedding+rule
392,low,low,,low,0.013,True,embedding+rule
393,low,high,,medium,0.0,False,embedding+rule
394,low,low,,low,0.003,True,embedding+rule
395,low,high,,medium,0.015,False,embedding+rule
396,low,high,,medium,0.006,False,embedding+rule
397,low,medium,,medium,0.011,False,embedding+rule
398,low,medium,,medium,0.059,False,embedding+rule
399,medium,medium,,medium,0.18,True,embedding+rule
400,low,low,,low,0.033,True,embedding+rule
401,medium,medium,,medium,0.173,True,embedding+rule
402,low,low,,low,0.001,True,embedding+rule
403,low,low,,low,0.009,True,embedding+rule
404,low,high,,medium,0.006,False,embedding+rule
405,low,low,,low,0.017,True,embedding+rule
406,low,medium,,medium,0.004,False,embedding+rule
407,high,high,,high,0.175,True,embedding+rule
408,low,low,,low,0.011,True,embedding+rule
409,low,high,,medium,0.001,False,embedding+rule
410,high,high,,high,0.293,True,embedding+rule
411,low,medium,,medium,0.002,False,embedding+rule
412,low,high,,medium,0.005,False,embedding+rule
413,low,medium,,medium,0.043,False,embedding+rule
414,low,low,,low,0.011,True,embedding+rule
415,low,low,,low,0.005,True,embedding+rule
416,low,low,,low,0.008,True,embedding+rule
417,low,medium,,medium,0.031,False,embedding+rule
418,medium,medium,,medium,0.209,True,embedding+rule
419,low,high,,medium,0.011,False,embedding+rule
420,low,low,,low,0.006,True,embedding+rule
421,low,medium,,medium,0.006,False,embedding+rule
422,low,low,,low,0.004,True,embedding+rule
423,low,low,,low,0.023,True,embedding+rule
424,high,high,,high,0.321,True,embedding+rule
425,low,medium,,medium,0.152,False,embedding+rule
426,low,low,,low,0.002,True,embedding+rule
427,low,low,,low,0.002,True,embedding+rule
428,low,low,,low,0.152,True,embedding+rule
429,low,high,,medium,0.006,False,embedding+rule
430,high,medium,,medium,0.492,False,embedding+rule
431,medium,low,,low,0.171,False,embedding+rule
432,low,high,,medium,0.001,False,embedding+rule
433,low,medium,,medium,0.003,False,embedding+rule
434,low,medium,,medium,0.003,False,embedding+rule
435,low,low,,low,0.042,True,embedding+rule
436,low,low,,low,0.011,True,embedding+rule
437,low,low,,low,0.029,True,embedding+rule
438,low,low,,low,0.015,True,embedding+rule
439,low,high,,medium,0.115,False,embedding+rule
440,low,low,,low,0.002,True,embedding+rule
441,low,medium,,medium,0.149,False,embedding+rule
442,low,high,,medium,0.004,False,embedding+rule
443,low,low,,low,0.005,True,embedding+rule
444,medium,medium,,medium,0.16,True,embedding+rule
445,low,high,,medium,0.0,False,embedding+rule
446,low,high,,medium,0.001,False,embedding+rule
447,low,medium,,medium,0.119,False,embedding+rule
448,low,high,,medium,0.013,False,embedding+rule
449,medium,medium,,medium,0.17,True,embedding+rule
450,low,low,,low,0.006,True,embedding+rule
451,low,low,,low,0.018,True,embedding+rule
452,low,medium,,medium,0.054,False,embedding+rule
453,medium,medium,,medium,0.171,True,embedding+rule
454,low,medium,,medium,0.143,False,embedding+rule
455,low,low,,low,0.002,True,embedding+rule
456,low,medium,,medium,0.003,False,embedding+rule
457,low,high,,medium,0.004,False,embedding+rule
458,low,low,,low,0.004,True,embedding+rule
459,low,medium,,medium,0.026,False,embedding+rule
460,low,low,,low,0.003,True,embedding+rule
461,low,low,,low,0.009,True,embedding+rule
462,low,medium,,medium,0.142,False,embedding+rule
463,low,low,,low,0.006,True,embedding+rule
464,low,low,,low,0.028,True,embedding+rule
465,low,high,,medium,0.009,False,embedding+rule
466,low,medium,,medium,0.144,False,embedding+rule
467,medium,medium,,medium,0.163,True,embedding+rule
468,low,low,,low,0.004,True,embedding+rule
469,low,high,,medium,0.147,False,embedding+rule
470,low,medium,,medium,0.149,False,embedding+rule
471,low,low,,low,0.028,True,embedding+rule
472,low,high,,medium,0.003,False,embedding+rule
473,low,high,,medium,0.001,False,embedding+rule
474,low,low,,low,0.018,True,embedding+rule
475,low,medium,,medium,0.022,False,embedding+rule
476,low,medium,,medium,0.008,False,embedding+rule
477,low,high,,medium,0.001,False,embedding+rule
478,low,high,,medium,0.009,False,embedding+rule
479,low,medium,,medium,0.145,False,embedding+rule
480,low,medium,,medium,0.001,False,embedding+rule
481,low,low,,low,0.002,True,embedding+rule
482,low,medium,,medium,0.007,False,embedding+rule
483,medium,medium,,medium,0.177,True,embedding+rule
484,low,low,,low,0.014,True,embedding+rule
485,low,high,,medium,0.006,False,embedding+rule
486,low,high,,medium,0.0,False,embedding+rule
487,low,low,,low,0.004,True,embedding+rule
488,low,high,,medium,0.003,False,embedding+rule
489,low,low,,low,0.01,True,embedding+rule
490,low,low,,low,0.001,True,embedding+rule
491,low,high,,medium,0.042,False,embedding+rule
492,low,low,,low,0.005,True,embedding+rule
493,low,low,,low,0.046,True,embedding+rule
494,low,high,,medium,0.138,False,embedding+rule
495,low,high,,medium,0.002,False,embedding+rule
496,high,high,,high,0.199,True,embedding+rule
497,low,high,,medium,0.001,False,embedding+rule
498,low,high,,medium,0.004,False,embedding+rule
499,low,low,,low,0.032,True,embedding+rule
500,low,medium,,medium,0.029,False,embedding+rule
501,low,low,,low,0.003,True,embedding+rule
502,low,low,,low,0.008,True,embedding+rule
503,low,low,,low,0.003,True,embedding+rule
504,low,low,,low,0.004,True,embedding+rule
505,low,low,,low,0.003,True,embedding+rule
506,low,medium,,medium,0.142,False,embedding+rule
507,low,low,,low,0.005,True,embedding+rule
508,low,low,,low,0.011,True,embedding+rule
509,low,high,,medium,0.029,False,embedding+rule
510,high,high,,high,0.306,True,embedding+rule
511,low,high,,medium,0.002,False,embedding+rule
512,medium,medium,,medium,0.167,True,embedding+rule
513,low,medium,,medium,0.106,False,embedding+rule
514,low,low,,low,0.004,True,embedding+rule
515,low,low,,low,0.005,True,embedding+rule
516,medium,medium,,medium,0.199,True,embedding+rule
517,low,low,,low,0.002,True,embedding+rule
518,low,high,,medium,0.004,False,embedding+rule
519,low,low,,low,0.002,True,embedding+rule
520,low,low,,low,0.001,True,embedding+rule
521,low,low,,low,0.146,True,embedding+rule
522,low,high,,medium,0.021,False,embedding+rule
523,medium,medium,,medium,0.203,True,embedding+rule
524,low,low,,low,0.058,True,embedding+rule
525,medium,medium,,medium,0.213,True,embedding+rule
526,low,low,,low,0.007,True,embedding+rule
527,low,low,,low,0.005,True,embedding+rule
528,low,high,,medium,0.009,False,embedding+rule
529,high,high,,high,0.19,True,embedding+rule
530,low,low,,low,0.004,True,embedding+rule
531,low,medium,,medium,0.004,False,embedding+rule
532,low,low,,low,0.002,True,embedding+rule
533,low,low,,low,0.005,True,embedding+rule
534,low,low,,low,0.03,True,embedding+rule
535,low,low,,low,0.029,True,embedding+rule
536,low,medium,,medium,0.144,False,embedding+rule
537,low,high,,medium,0.002,False,embedding+rule
538,low,medium,,medium,0.108,False,embedding+rule
539,low,medium,,medium,0.017,False,embedding+rule
540,low,low,,low,0.001,True,embedding+rule
541,low,medium,,medium,0.001,False,embedding+rule
542,low,low,,low,0.149,True,embedding+rule
543,medium,medium,,medium,0.194,True,embedding+rule
544,medium,medium,,medium,0.188,True,embedding+rule
545,low,low,,low,0.004,True,embedding+rule
546,low,medium,,medium,0.001,False,embedding+rule
547,high,high,,high,0.191,True,embedding+rule
548,low,low,,low,0.005,True,embedding+rule
549,low,low,,low,0.022,True,embedding+rule
550,high,high,,high,0.288,True,embedding+rule
551,low,high,,medium,0.005,False,embedding+rule
552,low,medium,,medium,0.141,False,embedding+rule
553,high,high,,high,0.337,True,embedding+rule
554,low,low,,low,0.004,True,embedding+rule
555,low,medium,,medium,0.001,False,embedding+rule
556,low,medium,,medium,0.115,False,embedding+rule
557,low,high,,medium,0.137,False,embedding+rule
558,low,high,,medium,0.001,False,embedding+rule
559,low,medium,,medium,0.003,False,embedding+rule
560,low,low,,low,0.018,True,embedding+rule
561,low,high,,medium,0.003,False,embedding+rule
562,low,low,,low,0.009,True,embedding+rule
563,low,low,,low,0.006,True,embedding+rule
564,low,low,,low,0.152,True,embedding+rule
565,low,medium,,medium,0.136,False,embedding+rule
566,low,low,,low,0.012,True,embedding+rule
567,low,medium,,medium,0.0,False,embedding+rule
568,low,high,,medium,0.028,False,embedding+rule
569,low,medium,,medium,0.145,False,embedding+rule
570,low,high,,medium,0.154,False,embedding+rule
571,low,high,,medium,0.0,False,embedding+rule
572,low,low,,low,0.007,True,embedding+rule
573,low,medium,,medium,0.002,False,embedding+rule
574,high,high,,high,0.287,True,embedding+rule
575,low,high,,medium,0.008,False,embedding+rule
576,low,low,,low,0.002,True,embedding+rule
577,low,low,,low,0.004,True,embedding+rule
578,low,medium,,medium,0.03,False,embedding+rule
579,low,medium,,medium,0.008,False,embedding+rule
580,low,low,,low,0.009,True,embedding+rule
581,low,medium,,medium,0.01,False,embedding+rule
582,low,medium,,medium,0.007,False,embedding+rule
583,low,medium,,medium,0.001,False,embedding+rule
584,high,high,,high,0.286,True,embedding+rule
585,low,medium,,medium,0.026,False,embedding+rule
586,medium,medium,,medium,0.178,True,embedding+rule
587,low,medium,,medium,0.004,False,embedding+rule
588,low,high,,medium,0.007,False,embedding+rule
589,medium,medium,,medium,0.174,True,embedding+rule
590,low,medium,,medium,0.021,False,embedding+rule
591,low,high,,medium,0.009,False,embedding+rule
592,low,low,,low,0.006,True,embedding+rule
593,low,low,,low,0.016,True,embedding+rule
594,low,low,,low,0.145,True,embedding+rule
595,low,high,,medium,0.041,False,embedding+rule
596,medium,medium,,medium,0.194,True,embedding+rule
597,low,medium,,medium,0.158,False,embedding+rule
598,low,low,,low,0.002,True,embedding+rule
599,low,high,,medium,0.0,False,embedding+rule
600,low,low,,low,0.004,True,embedding+rule
601,low,medium,,medium,0.007,False,embedding+rule
602,low,medium,,medium,0.114,False,embedding+rule
603,low,high,,medium,0.003,False,embedding+rule
604,medium,medium,,medium,0.27,True,embedding+rule
605,low,low,,low,0.133,True,embedding+rule
606,low,high,,medium,0.001,False,embedding+rule
607,low,medium,,medium,0.003,False,embedding+rule
