post_id,risk_level,confidence
177,medium,0.9757
178,low,0.7388
179,low,0.9792
180,low,0.9918
181,low,0.9976
182,low,0.9931
183,medium,0.9921
184,medium,0.888
185,medium,0.7539
186,low,0.9577
187,medium,0.6348
188,medium,0.9393
189,low,0.9932
190,low,0.9936
191,medium,0.9967
192,medium,0.9867
193,low,0.9959
194,medium,0.9572
195,medium,0.9934
196,medium,0.9854
197,low,0.9931
198,medium,0.9949
199,medium,0.994
200,low,0.996
201,low,0.9986
202,low,0.997
203,medium,0.9925
204,low,0.9831
205,low,0.873
206,low,0.9939
207,medium,0.9925
208,medium,0.9532
209,low,0.9852
210,medium,0.9357
211,medium,0.9955
212,low,0.9956
213,low,0.9948
214,low,0.9855
215,low,0.9948
216,low,0.9906
217,medium,0.9875
218,low,0.9959
219,low,0.9987
220,medium,0.993
221,medium,0.9946
222,low,0.9379
224,low,0.998
225,medium,0.5692
226,low,0.9933
227,medium,0.9152
228,low,0.9981
229,medium,0.994
230,low,0.9956
231,medium,0.9857
232,low,0.9795
233,low,0.9988
234,medium,0.9788
235,low,0.9967
236,low,0.9981
237,low,0.9952
238,medium,0.9962
239,low,0.9746
240,medium,0.99
241,medium,0.9348
242,medium,0.9869
243,low,0.9844
244,medium,0.9944
245,medium,0.9964
246,medium,0.945
247,low,0.9943
248,low,0.9553
249,medium,0.9892
250,low,0.9578
251,medium,0.9905
252,medium,0.9773
253,low,0.9965
254,medium,0.9719
255,medium,0.9362
256,low,0.9923
257,medium,0.8783
258,low,0.9554
259,low,0.9979
260,high,0.9618
261,low,0.9133
262,medium,0.965
263,low,0.9963
264,medium,0.8217
265,low,0.9935
266,medium,0.8824
267,low,0.9686
268,medium,0.9888
269,low,0.9698
270,medium,0.6952
271,medium,0.986
272,medium,0.997
273,low,0.9982
274,medium,0.9944
275,low,0.9956
276,medium,0.9942
277,low,0.9982
278,medium,0.9966
279,low,0.9972
280,low,0.9909
281,low,0.9782
282,medium,0.9954
283,medium,0.9297
284,medium,0.9395
285,medium,0.9951
286,medium,0.9941
287,medium,0.928
288,medium,0.9885
289,medium,0.9106
290,medium,0.9607
291,medium,0.8926
292,low,0.5988
293,low,0.956
294,medium,0.997
295,low,0.9961
296,low,0.9854
297,medium,0.7578
298,medium,0.9889
299,low,0.7391
300,medium,0.9035
301,low,0.9975
302,medium,0.9931
303,medium,0.9958
304,medium,0.9462
305,low,0.998
306,low,0.9961
307,low,0.9972
308,medium,0.744
309,medium,0.9655
310,high,0.9537
311,medium,0.9943
312,low,0.9963
313,low,0.9948
314,medium,0.9702
315,medium,0.6988
316,low,0.9986
317,medium,0.9684
318,low,0.9669
319,low,0.9501
320,low,0.7627
321,low,0.735
322,medium,0.9838
323,low,0.9724
324,medium,0.9968
325,medium,0.9967
326,medium,0.9861
327,medium,0.9737
328,medium,0.9965
329,low,0.4848
330,low,0.9943
331,medium,0.9851
332,medium,0.988
333,low,0.9178
334,medium,0.9523
335,low,0.8025
336,high,0.5087
337,medium,0.9721
338,medium,0.8158
339,medium,0.8718
340,medium,0.9965
341,medium,0.9952
342,medium,0.9401
343,low,0.9977
344,low,0.9899
345,low,0.9985
346,medium,0.9947
347,medium,0.8794
348,medium,0.9936
349,medium,0.9944
350,medium,0.99
351,medium,0.9931
352,low,0.9039
353,low,0.9986
354,low,0.9801
355,medium,0.9813
356,low,0.9988
357,medium,0.8791
358,medium,0.9888
359,low,0.9921
360,medium,0.9944
361,low,0.9985
362,low,0.9818
363,low,0.9985
364,low,0.9205
365,low,0.8294
366,medium,0.994
367,medium,0.9357
368,medium,0.991
369,medium,0.9968
370,low,0.9981
371,low,0.9942
372,medium,0.9916
373,medium,0.9606
374,low,0.7686
375,medium,0.9432
376,low,0.9988
377,low,0.9927
378,medium,0.9922
379,medium,0.9926
380,medium,0.9759
381,medium,0.9942
382,low,0.9988
383,medium,0.9947
384,medium,0.9907
385,medium,0.7092
386,medium,0.9923
387,medium,0.975
388,medium,0.9841
389,high,0.92
390,medium,0.9579
391,medium,0.988
392,low,0.9973
393,medium,0.9914
394,low,0.9917
395,medium,0.9935
396,medium,0.9861
397,medium,0.9939
398,medium,0.9951
399,medium,0.9859
400,low,0.9931
401,medium,0.9932
402,low,0.9519
403,low,0.9898
404,medium,0.9041
405,low,0.9982
406,medium,0.9902
407,high,0.7596
408,low,0.9833
409,medium,0.9255
410,high,0.7408
411,medium,0.8671
412,low,0.6542
413,medium,0.9955
414,low,0.9969
415,low,0.9209
416,low,0.9987
417,medium,0.9948
418,medium,0.9943
419,medium,0.9165
420,low,0.997
421,medium,0.9886
422,low,0.985
423,low,0.9978
424,high,0.7162
425,medium,0.9937
426,low,0.6666
427,low,0.9876
428,low,0.9944
429,medium,0.9015
430,medium,0.993
431,low,0.9973
432,low,0.7906
433,medium,0.9763
434,low,0.9944
435,low,0.9945
436,low,0.9924
437,low,0.8923
438,low,0.9974
439,low,0.9355
440,low,0.9564
441,medium,0.991
442,medium,0.9276
443,low,0.9976
444,medium,0.9141
445,medium,0.7342
446,medium,0.9756
447,medium,0.9968
448,medium,0.9367
449,medium,0.9962
450,low,0.996
451,low,0.9987
452,medium,0.9936
453,medium,0.9922
454,medium,0.9837
455,low,0.9933
456,medium,0.9935
457,medium,0.9931
458,low,0.9571
459,medium,0.987
460,low,0.9612
461,low,0.9975
462,medium,0.9947
463,low,0.9966
464,low,0.9815
465,medium,0.9745
466,medium,0.9919
467,medium,0.8786
468,low,0.9674
469,medium,0.9857
470,medium,0.9875
471,low,0.9976
472,medium,0.986
473,medium,0.7587
474,low,0.9986
475,medium,0.9964
476,medium,0.9936
477,medium,0.9434
478,medium,0.7978
479,medium,0.9908
480,medium,0.9848
481,low,0.821
482,medium,0.9567
483,medium,0.9842
484,low,0.7628
485,medium,0.9938
486,medium,0.8322
487,low,0.9607
488,medium,0.9081
489,low,0.9971
490,low,0.9947
491,medium,0.8634
492,low,0.9935
493,low,0.9988
494,medium,0.9788
495,medium,0.9875
496,high,0.6422
497,medium,0.9922
498,medium,0.9565
499,low,0.8701
500,medium,0.9898
501,low,0.9662
502,low,0.996
503,low,0.9928
504,low,0.9969
505,low,0.9969
506,medium,0.9897
507,low,0.8134
508,low,0.9944
509,medium,0.9926
510,medium,0.7225
511,medium,0.9793
512,medium,0.9587
513,medium,0.9949
514,low,0.9821
515,low,0.983
516,medium,0.9926
517,low,0.7216
518,medium,0.9886
519,low,0.994
520,low,0.9615
521,low,0.9986
522,medium,0.9728
523,medium,0.9936
525,medium,0.9966
526,low,0.9982
527,low,0.8974
528,medium,0.976
529,high,0.6053
530,low,0.9739
531,medium,0.9895
532,low,0.9957
533,low,0.9938
534,low,0.9988
535,low,0.9985
536,medium,0.9809
537,medium,0.9956
538,medium,0.9928
539,medium,0.9706
540,low,0.6727
541,medium,0.9831
542,low,0.9982
543,medium,0.9878
544,medium,0.9919
545,low,0.9937
546,medium,0.9924
547,high,0.5647
548,low,0.9469
549,low,0.9966
550,high,0.7014
551,medium,0.8237
552,medium,0.9954
553,high,0.5916
554,low,0.9854
555,medium,0.9895
556,medium,0.7602
557,medium,0.9006
558,medium,0.9688
559,low,0.9947
560,low,0.9987
561,medium,0.9888
562,low,0.9355
563,low,0.9647
564,low,0.9987
565,medium,0.9661
566,low,0.9988
567,medium,0.9565
568,medium,0.9934
569,medium,0.9953
570,medium,0.9479
571,low,0.9419
572,low,0.9967
573,medium,0.9933
574,high,0.8524
575,medium,0.9866
576,low,0.9626
577,low,0.9924
578,medium,0.9961
579,medium,0.9875
580,low,0.9937
581,medium,0.9768
582,medium,0.9926
583,medium,0.9859
584,medium,0.9593
585,medium,0.9921
586,medium,0.9905
587,medium,0.9824
588,medium,0.9866
589,high,0.5397
590,medium,0.9913
591,medium,0.8006
592,low,0.9926
593,low,0.9866
594,low,0.9911
595,high,0.5565
596,medium,0.9896
597,medium,0.9924
598,low,0.9682
599,medium,0.9944
600,low,0.9979
601,medium,0.9698
602,medium,0.9942
603,medium,0.9917
604,medium,0.9961
605,low,0.9977
606,medium,0.6473
607,medium,0.9858
608,medium,0.9198
609,medium,0.9716
610,low,0.9569
611,low,0.9986
612,medium,0.9711
613,low,0.9978
614,medium,0.9231
615,high,0.6824
616,low,0.9931
617,low,0.9978
618,low,0.9979
619,medium,0.978
620,medium,0.9805
621,medium,0.9969
622,low,0.9795
623,low,0.9986
624,medium,0.9948
625,low,0.7575
626,medium,0.9937
627,medium,0.7868
628,low,0.9889
629,low,0.9345
630,medium,0.971
631,medium,0.9432
632,medium,0.9838
633,low,0.9945
634,medium,0.9919
635,medium,0.938
636,medium,0.986
637,medium,0.9456
638,medium,0.9915
639,high,0.9505
640,medium,0.9698
641,low,0.9985
642,medium,0.9427
643,low,0.4805
644,medium,0.9893
645,medium,0.994
646,low,0.9676
647,medium,0.9787
648,low,0.9975
649,low,0.9975
650,medium,0.9925
651,low,0.9979
652,medium,0.9712
653,low,0.9976
654,low,0.8783
655,low,0.9978
656,medium,0.9925
657,medium,0.9916
658,low,0.9981
659,low,0.855
660,low,0.7233
661,medium,0.9818
662,low,0.9846
663,medium,0.9866
664,low,0.9728
665,low,0.9945
666,medium,0.9926
667,medium,0.9707
668,medium,0.8986
669,high,0.6055
670,low,0.9985
671,medium,0.9909
672,medium,0.9905
673,medium,0.9755
674,medium,0.9844
675,medium,0.9167
676,low,0.9982
677,low,0.9918
678,low,0.9964
679,medium,0.9961
680,medium,0.993
681,medium,0.9923
682,low,0.9968
683,medium,0.9916
684,low,0.6319
685,low,0.9598
686,medium,0.9882
687,low,0.9986
688,medium,0.9957
689,medium,0.9885
690,medium,0.9946
691,medium,0.9887
692,low,0.9988
693,low,0.9814
694,low,0.9984
695,low,0.9965
696,high,0.9382
697,low,0.9981
698,medium,0.8738
699,medium,0.9827
700,low,0.9976
701,medium,0.9967
702,low,0.9979
703,medium,0.9927
704,low,0.9959
705,medium,0.9899
706,medium,0.9487
707,medium,0.9784
708,medium,0.9913
709,medium,0.9735
710,low,0.9957
711,low,0.9981
712,low,0.9933
713,medium,0.9674
714,medium,0.9817
715,low,0.9964
716,medium,0.9944
717,medium,0.9886
718,medium,0.9933
719,medium,0.9801
720,low,0.9941
721,medium,0.9937
722,low,0.9979
723,low,0.9972
724,medium,0.8149
725,medium,0.9968
726,medium,0.992
727,medium,0.9492
728,medium,0.9942
729,medium,0.9145
730,low,0.9962
731,low,0.9955
732,medium,0.9615
733,low,0.9461
734,medium,0.9862
735,low,0.9962
736,medium,0.991
737,low,0.9961
738,low,0.9986
739,low,0.9746
740,medium,0.9915
741,low,0.9917
742,medium,0.9517
743,medium,0.9719
744,low,0.9985
745,medium,0.9809
746,medium,0.8841
747,low,0.6426
748,medium,0.9919
749,low,0.9615
750,medium,0.9904
751,medium,0.9454
752,low,0.9965
753,medium,0.9384
754,low,0.9489
755,medium,0.9846
756,medium,0.9962
757,low,0.766
758,medium,0.9955
759,low,0.998
760,medium,0.9731
761,low,0.9985
762,medium,0.9965
763,low,0.9927
764,medium,0.9762
765,low,0.9975
766,low,0.9988
767,medium,0.9888
768,medium,0.9762
769,low,0.9983
770,medium,0.9949
771,low,0.9902
772,medium,0.9641
773,medium,0.9571
774,medium,0.9579
775,medium,0.9939
776,medium,0.9926
777,medium,0.9382
778,medium,0.9596
779,low,0.9975
780,low,0.9967
781,medium,0.9595
782,high,0.7841
783,medium,0.7646
784,medium,0.9891
785,medium,0.9868
786,low,0.9981
787,low,0.7453
788,low,0.9982
789,medium,0.9595
790,medium,0.9656
791,medium,0.8736
792,medium,0.9932
793,low,0.9985
794,medium,0.9774
795,medium,0.9951
796,medium,0.8375
797,medium,0.6834
798,medium,0.995
799,low,0.9933
800,medium,0.7154
801,low,0.9976
802,low,0.9956
803,low,0.9981
804,low,0.9885
805,medium,0.9861
806,medium,0.9966
807,low,0.9948
808,low,0.9987
809,low,0.9955
810,low,0.9987
811,medium,0.9755
812,medium,0.9787
813,medium,0.9935
814,medium,0.9965
815,low,0.9882
816,medium,0.9681
817,medium,0.9965
818,medium,0.995
819,low,0.9988
820,low,0.961
821,medium,0.9946
822,medium,0.9793
823,medium,0.979
824,low,0.9911
825,low,0.9193
826,medium,0.9932
827,low,0.998
828,low,0.9974
829,low,0.9984
830,low,0.9615
831,low,0.9837
832,medium,0.9925
833,low,0.9848
834,medium,0.7333
835,low,0.9946
836,low,0.9988
837,medium,0.9138
838,medium,0.7876
839,low,0.9986
840,low,0.9984
841,medium,0.9944
842,medium,0.9944
843,high,0.6074
844,medium,0.9803
845,medium,0.9697
846,medium,0.9912
847,low,0.9978
848,low,0.8029
849,low,0.9982
850,low,0.9988
851,medium,0.8438
852,low,0.9485
853,low,0.9969
854,medium,0.9839
855,low,0.947
856,low,0.9982
857,low,0.9921
858,medium,0.9863
859,medium,0.9946
860,low,0.5824
861,medium,0.95
862,medium,0.9911
863,low,0.9976
864,medium,0.8671
865,medium,0.9965
866,low,0.9829
867,medium,0.9938
868,low,0.9884
869,medium,0.987
870,medium,0.4821
871,low,0.9973
872,medium,0.9784
873,low,0.9983
874,low,0.9987
875,medium,0.9938
876,medium,0.9832
877,medium,0.9672
878,low,0.9988
879,medium,0.9825
880,low,0.594
881,low,0.9987
882,medium,0.9913
883,low,0.9976
884,medium,0.9909
885,medium,0.9395
886,medium,0.9904
887,medium,0.9966
888,medium,0.978
889,medium,0.9315
890,medium,0.6672
891,medium,0.9939
892,medium,0.993
893,medium,0.9945
894,medium,0.9926
895,medium,0.967
896,medium,0.9938
897,medium,0.9922
898,low,0.9983
899,low,0.9973
900,medium,0.9955
901,medium,0.9846
902,low,0.9242
903,low,0.9973
904,low,0.9951
905,low,0.985
906,low,0.9986
907,medium,0.9964
908,medium,0.9484
909,low,0.9983
910,medium,0.996
911,medium,0.9969
912,medium,0.9954
913,medium,0.99
914,low,0.9787
915,medium,0.9391
916,medium,0.9812
917,medium,0.99
918,medium,0.9943
919,medium,0.9571
920,medium,0.9969
921,low,0.9536
922,medium,0.6208
923,low,0.9972
924,medium,0.7756
925,low,0.9979
926,medium,0.9863
927,medium,0.9445
928,medium,0.6788
929,medium,0.9943
930,low,0.9987
931,low,0.9882
932,low,0.9986
933,medium,0.991
934,medium,0.9921
935,medium,0.9855
936,low,0.998
937,low,0.9849
938,low,0.9969
939,medium,0.8278
940,medium,0.5643
941,medium,0.9827
942,low,0.99
943,medium,0.9515
944,low,0.9821
945,medium,0.9857
946,low,0.9984
947,low,0.9986
948,low,0.9981
949,high,0.6395
950,medium,0.995
951,low,0.9983
952,medium,0.9875
953,low,0.9984
954,medium,0.9915
955,medium,0.9914
956,low,0.9659
957,low,0.9985
958,low,0.9369
959,medium,0.9642
960,low,0.9771
961,low,0.9986
962,medium,0.9966
963,medium,0.9933
964,low,0.8543
965,low,0.9578
966,medium,0.9939
967,medium,0.9342
968,low,0.9935
969,medium,0.9828
970,low,0.9887
971,low,0.9984
972,low,0.9939
973,medium,0.9947
974,medium,0.9314
975,low,0.8434
976,medium,0.9937
977,medium,0.9604
978,low,0.9971
979,medium,0.9842
980,low,0.997
981,medium,0.9269
982,medium,0.9815
983,low,0.9974
984,medium,0.9955
985,medium,0.9894
986,medium,0.9815
987,medium,0.9935
988,medium,0.9935
989,low,0.9976
990,medium,0.9865
991,medium,0.977
992,medium,0.946
993,low,0.5988
994,low,0.9968
995,medium,0.9859
996,low,0.9987
997,low,0.9782
998,medium,0.9838
999,medium,0.9921
1000,medium,0.9951
1001,medium,0.9854
1002,medium,0.9473
1003,medium,0.9916
1004,medium,0.9966
1005,low,0.988
1006,medium,0.9951
1007,medium,0.9897
1008,low,0.9982
1009,medium,0.4757
1010,medium,0.9617
1011,low,0.9977
1012,low,0.998
1013,low,0.9979
1014,high,0.8963
1015,medium,0.9596
1016,low,0.8858
1017,low,0.998
1018,medium,0.9905
1019,low,0.9904
1020,low,0.9932
1021,low,0.9964
1022,medium,0.9906
1023,medium,0.8986
1024,low,0.9895
1025,medium,0.9913
1026,medium,0.9448
1027,medium,0.9957
1028,low,0.9959
1029,low,0.9987
1030,low,0.9983
1031,medium,0.9424
1032,low,0.9475
1033,medium,0.9097
1034,medium,0.9886
1035,low,0.9922
1036,low,0.9971
1037,medium,0.9939
1038,low,0.8783
1039,medium,0.9925
1040,medium,0.9826
1041,medium,0.9923
1042,low,0.997
1043,medium,0.9565
1044,medium,0.9518
1045,medium,0.9679
1046,low,0.9854
1047,low,0.9974
1048,medium,0.9945
1049,medium,0.9955
1050,low,0.9756
1051,medium,0.9929
1052,low,0.9892
1053,low,0.9982
1054,low,0.9432
1055,high,0.6485
1056,medium,0.9963
1057,low,0.9976
1058,high,0.8589
1059,low,0.8323
1060,medium,0.9448
1061,low,0.9985
1062,low,0.9852
1063,medium,0.9564
1064,medium,0.893
1065,low,0.9982
1066,medium,0.9842
1067,low,0.9948
1068,low,0.9986
1069,medium,0.976
1070,low,0.9729
1071,low,0.9076
1072,low,0.9987
1073,medium,0.9861
1074,high,0.8186
1075,medium,0.9883
1076,medium,0.87
1077,medium,0.9949
1078,high,0.9537
1079,low,0.9985
1080,medium,0.9963
1081,medium,0.986
1082,medium,0.9944
1083,low,0.9951
1084,medium,0.8211
1085,medium,0.9957
1086,medium,0.8652
1087,low,0.9954
1088,medium,0.985
1089,medium,0.9746
1090,medium,0.8735
1091,medium,0.9612
1092,medium,0.9927
1093,medium,0.9833
1094,medium,0.7521
1095,medium,0.9964
1096,medium,0.7026
1097,low,0.9897
1098,medium,0.798
1099,medium,0.7374
1100,medium,0.9917
1101,medium,0.9956
1102,medium,0.4087
1103,medium,0.9961
1104,medium,0.9946
1105,medium,0.9705
1106,low,0.8946
1107,medium,0.9796
1108,low,0.6806
1109,low,0.9984
1110,medium,0.9403
1111,low,0.998
1112,medium,0.9961
1113,low,0.9762
1114,medium,0.9257
1115,low,0.9978
1116,medium,0.9961
1117,medium,0.6702
1118,low,0.926
1119,medium,0.9844
1120,low,0.9913
1121,low,0.998
1122,low,0.9904
1124,medium,0.8939
1125,medium,0.9946
1126,low,0.9959
1127,medium,0.9949
1128,low,0.9987
1129,medium,0.9519
1130,low,0.986
1131,medium,0.987
1132,low,0.9759
1133,low,0.9615
1134,low,0.5523
1135,medium,0.9931
1136,medium,0.9945
1137,low,0.9924
1138,low,0.9963
1139,medium,0.9883
1140,medium,0.9574
1141,medium,0.7683
1142,medium,0.9755
1143,medium,0.8084
1144,low,0.9916
1145,low,0.9961
1146,low,0.99
1147,medium,0.9748
1148,medium,0.9954
1149,low,0.9979
1150,low,0.882
1151,low,0.9975
1152,low,0.9237
1153,medium,0.9936
1154,low,0.9965
1155,low,0.9946
1156,low,0.9517
1157,medium,0.9904
1158,high,0.669
1159,medium,0.7898
1160,low,0.6481
1161,low,0.8108
1162,low,0.9976
1163,low,0.9972
1164,medium,0.9472
1165,medium,0.6425
1166,low,0.9876
1167,medium,0.9437
1168,medium,0.9932
1169,low,0.9964
1170,low,0.9988
1171,medium,0.9969
1172,low,0.997
1173,medium,0.8245
1174,medium,0.9955
1175,low,0.9956
1176,medium,0.7261
1177,medium,0.9887
1178,low,0.988
1179,medium,0.9867
1180,medium,0.9857
1181,high,0.5008
1182,low,0.9975
1183,medium,0.9893
1184,medium,0.6483
1185,low,0.9971
1186,medium,0.9949
1187,low,0.9958
1188,medium,0.9795
1189,medium,0.7974
1190,medium,0.9914
1191,low,0.9986
1192,low,0.9965
1193,low,0.9919
1194,low,0.9529
1195,medium,0.9609
1196,medium,0.9516
1197,medium,0.9666
1198,medium,0.9814
1199,medium,0.9962
1200,low,0.9969
1201,medium,0.4979
1202,medium,0.9241
1203,medium,0.9937
1204,low,0.9911
1205,medium,0.9935
1206,low,0.9852
1207,low,0.9925
1208,low,0.9916
1209,low,0.985
1210,low,0.9968
1211,low,0.9956
1212,medium,0.9934
1213,medium,0.978
1214,low,0.9785
1215,low,0.9703
1216,medium,0.9381
1217,medium,0.9905
1218,medium,0.9886
1219,low,0.9973
1220,medium,0.9958
1221,medium,0.996
1222,low,0.9977
1223,low,0.9867
1224,medium,0.9948
1225,medium,0.9966
1226,medium,0.5514
1227,low,0.8167
1228,medium,0.9822
1229,low,0.998
1230,low,0.9871
1231,low,0.9894
1232,low,0.5808
1233,low,0.9987
1234,low,0.9934
1235,low,0.9954
1236,low,0.9866
1237,medium,0.9926
1238,medium,0.98
1239,low,0.9898
1240,medium,0.7543
1241,medium,0.9452
1242,medium,0.9616
1243,medium,0.9841
1244,medium,0.9922
1245,medium,0.4998
1246,low,0.9973
1247,medium,0.9279
1248,low,0.9958
1249,high,0.9584
1250,medium,0.9818
1251,low,0.9751
1252,medium,0.9852
1253,medium,0.9954
1254,low,0.9229
1255,medium,0.5302
1256,low,0.9969
1257,medium,0.9119
1258,low,0.9955
1259,low,0.9907
1260,low,0.9971
1261,low,0.9974
1262,low,0.9969
1263,medium,0.8515
1264,medium,0.8515
1265,medium,0.995
1266,low,0.9597
1267,medium,0.9884
1268,low,0.9983
1269,medium,0.9377
1270,medium,0.9932
1271,low,0.9986
1272,medium,0.9881
1273,low,0.9987
1274,low,0.9966
1275,medium,0.7656
1276,low,0.9764
1277,high,0.6921
1278,low,0.9982
1279,medium,0.9868
1280,low,0.9972
1281,medium,0.9915
1282,medium,0.9654
1283,medium,0.9933
1284,medium,0.9942
1285,low,0.9986
1286,low,0.9792
1287,low,0.99
1288,low,0.9869
1289,low,0.9976
1290,medium,0.9826
1291,medium,0.9955
1292,low,0.9523
1293,medium,0.9954
1294,medium,0.9788
1295,medium,0.9294
1296,low,0.9838
1297,low,0.985
1298,low,0.9989
1299,medium,0.8413
1300,medium,0.9287
1301,medium,0.9882
1302,medium,0.9804
1303,low,0.9986
1304,low,0.9987
1305,medium,0.986
1306,medium,0.9902
1307,low,0.9936
1308,medium,0.7583
1309,low,0.9986
1310,low,0.9955
1311,medium,0.988
1312,low,0.9156
1313,medium,0.8825
1314,medium,0.957
1315,medium,0.986
1316,medium,0.9496
1317,medium,0.9965
1318,low,0.998
1319,medium,0.9933
1320,low,0.9967
1321,low,0.998
1322,low,0.9387
1323,medium,0.9924
1324,medium,0.7901
1325,medium,0.8834
1326,low,0.9031
1327,medium,0.9847
1328,medium,0.948
1329,low,0.9776
1330,low,0.955
1331,medium,0.9757
1332,medium,0.9951
1333,low,0.9981
1334,medium,0.9838
1335,medium,0.5517
1336,medium,0.9945
1337,low,0.9981
1338,medium,0.9815
1339,medium,0.9901
1340,medium,0.626
1341,medium,0.994
1342,low,0.9803
1343,medium,0.9669
1344,low,0.9985
1345,low,0.9948
1346,medium,0.8436
1347,medium,0.971
1348,medium,0.9961
1349,medium,0.9064
1350,medium,0.8915
1351,low,0.9881
1352,medium,0.6994
1353,medium,0.9801
1354,low,0.9983
1355,low,0.997
1356,low,0.9878
1357,medium,0.9914
1358,low,0.9804
1359,medium,0.989
1360,medium,0.986
1361,medium,0.5564
1362,medium,0.9738
1363,medium,0.9917
1364,medium,0.7725
1365,low,0.9965
1366,high,0.9601
1367,low,0.6481
1368,medium,0.9969
1369,low,0.9984
1370,medium,0.9831
1371,low,0.738
1372,low,0.9965
1373,high,0.4504
1374,low,0.9889
1375,low,0.9938
1376,medium,0.9721
1377,medium,0.9943
1378,medium,0.9426
1379,low,0.9964
1380,low,0.9984
1381,high,0.7233
1382,medium,0.9896
1383,low,0.8838
1384,medium,0.9692
1385,low,0.9967
1386,medium,0.9375
1387,medium,0.9859
1388,medium,0.9838
1389,low,0.9984
1390,medium,0.9719
1391,medium,0.7472
1392,medium,0.9124
1393,medium,0.9605
1394,low,0.9979
1395,low,0.9978
1396,high,0.8633
1397,medium,0.9809
1398,medium,0.9936
1399,medium,0.9889
1400,medium,0.9951
1401,medium,0.975
1402,low,0.9913
1403,low,0.957
1404,medium,0.9557
1405,high,0.9145
1406,low,0.9941
1407,medium,0.9718
1408,low,0.9956
1409,medium,0.904
1410,medium,0.9909
1411,medium,0.9914
1412,medium,0.9968
1413,low,0.9981
1414,medium,0.9944
1415,low,0.9835
1416,low,0.8361
1417,low,0.9886
1418,low,0.9852
1419,low,0.9601
1420,medium,0.978
1421,medium,0.8287
1422,medium,0.9792
1423,medium,0.9782
1424,medium,0.9855
1425,medium,0.9881
1426,low,0.9855
1427,medium,0.9421
1428,low,0.9815
1429,medium,0.9952
1430,medium,0.9353
1431,low,0.9969
1432,medium,0.9796
1433,low,0.5041
1434,medium,0.9538
1435,medium,0.9716
1436,low,0.9967
1437,medium,0.991
